iter	Passed	Remaining
972	472123	983549
973	472619	983086
974	473075	982540
975	473515	981961
976	473993	981463
977	474445	980909
978	474883	980326
979	475370	979845
980	475847	979344
981	476243	978676
982	476636	978001
983	477066	977403
984	477552	976922
985	478030	976422
986	478519	975947
987	478939	975329
988	479442	974882
989	479844	974229
990	480294	973675
991	480887	973409
992	481318	972815
993	481796	972317
994	482277	971825
995	482770	971356
996	483286	970934
997	483730	970369
998	484170	969794
999	484656	969313
1000	485190	968927
1001	485674	968440
1002	486071	967781
1003	486563	967310
1004	487072	966875
1005	487512	966302
1006	488023	965868
1007	488513	965396
1008	489001	964917
1009	489499	964460
1010	489875	963760
1011	490361	963279
1012	490838	962780
1013	491272	962195
1014	491777	961752
1015	492221	961189
1016	492706	960705
1017	493215	960267
1018	493708	959801
1019	494204	959338
1020	494689	958854
1021	495160	958343
1022	495683	957934
1023	496161	957437
1024	496674	957006
1025	497020	956256
1026	497490	955743
1027	497987	955283
1028	498481	954817
1029	498977	954355
1030	499436	953822
1031	499895	953288
1032	500409	952860
1033	500893	952375
1034	501377	951890
1035	501862	951406
1036	502353	950935
1037	502855	950483
1038	503253	949835
1039	503707	949294
1040	504123	948681
1041	504596	948176
1042	504987	947516
1043	505475	947039
1044	505974	946583
1045	506411	946010
1046	506889	945516
1047	507346	944981
1048	507791	944424
1049	508300	943987
1050	508782	943498
1051	509285	943049
1052	509739	942510
1053	510119	941833
1054	510619	941379
1055	511108	940904
1056	511682	940585
1057	512265	940282
1058	512675	939663
1059	513207	939267
1060	513767	938920
1061	514202	938347
1062	514731	937944
1063	515256	937535
1064	515678	936936
1065	516229	936573
1066	516741	936140
1067	517267	935730
1068	517785	935308
1069	518319	934912
1070	518878	934562
1071	519393	934132
1072	519965	933805
1073	520604	933597
1074	521192	933297
1075	521749	932941
1076	522303	932581
1077	522834	932178
1078	523265	931596
1079	523694	931011
1080	524151	930477
1081	524695	930097
1082	525214	929673
1083	525724	929232
1084	526232	928788
1085	526715	928299
1086	527223	927855
1087	527735	927418
1088	528261	927004
1089	528803	926618
1090	529292	926141
1091	529786	925671
1092	530279	925200
1093	530802	924779
1094	531289	924298
1095	531786	923832
1096	532200	923224
1097	532644	922667
1098	533141	922203
1099	533643	921748
1100	534095	921204
1101	534549	920667
1102	534944	920027
1103	535376	919450
1104	535866	918975
1105	536378	918535
1106	536860	918045
1107	537355	917577
1108	537847	917105
1109	538338	916630
1110	538790	916089
1111	539185	915451
1112	539653	914937
1113	540117	914417
1114	540618	913960
1115	541085	913445
1116	541604	913018
1117	542094	912542
1118	542624	912133
1119	543118	911662
1120	543605	911182
1121	544060	910646
1122	544550	910170
1123	545057	909721
1124	545546	909243
1125	546087	908853
1126	546589	908395
1127	547118	907984
1128	547593	907481
1129	548113	907055
1130	548593	906561
1131	549097	906108
1132	549565	905595
1133	550091	905177
1134	550619	904761
1135	551175	904393
1136	551721	904007
1137	552184	903486
1138	552742	903119
1139	553255	902680
1140	553672	902083
1141	554148	901583
1142	554637	901103
1143	555078	900546
1144	555589	900103
1145	556072	899613
1146	556525	899076
1147	557017	898602
1148	557507	898126
1149	558005	897660
1150	558464	897134
1151	558861	896507
1152	559304	895953
1153	559782	895457
1154	560244	894935
1155	560713	894425
1156	561222	893978
1157	561746	893556
1158	562260	893115
1159	562733	892611
1160	563160	892035
1161	563659	891571
1162	564173	891132
1163	564650	890634
1164	565209	890266
1165	565692	889776
1166	566146	889242
1167	566654	888794
1168	567098	888243
1169	567478	887594
1170	567992	887155
1171	568455	886634
1172	568957	886175
1173	569448	885701
1174	569949	885240
1175	570439	884763
1176	570930	884287
1177	571336	883679
1178	571878	883282
1179	572374	882814
1180	572907	882403
1181	573448	882005
1182	573979	881590
1183	574457	881094
1184	574967	880646
1185	575507	880244
1186	576008	879783
1187	576541	879370
1188	577040	878906
1189	577540	878443
1190	578041	877982
1191	578532	877506
1192	578997	876989
1193	579476	876494
1194	579949	875991
1195	580434	875505
1196	580941	875052
1197	581426	874566
1198	581955	874146
1199	582441	873661
1200	582982	873260
1201	583484	872799
1202	583999	872358
1203	584522	871929
1204	585078	871548
1205	585626	871156
1206	586099	870651
1207	586587	870169
1208	586979	869546
1209	587412	868982
1210	587915	868522
1211	588368	867989
1212	588835	867476
1213	589367	867059
1214	589781	866469
1215	590176	865850
1216	590661	865364
1217	591057	864748
1218	591495	864194
1219	591972	863697
1220	592451	863203
1221	592940	862723
1222	593436	862253
1223	593870	861694
1224	594266	861080
1225	594740	860578
1226	595265	860151
1227	595768	859692
1228	596097	858982
1229	596580	858494
1230	597007	857925
1231	597444	857372
1232	597937	856897
1233	598434	856430
1234	598926	855955
1235	599453	855530
1236	599883	854967
1237	600369	854484
1238	600888	854047
1239	601406	853609
1240	601828	853034
1241	602361	852617
1242	602844	852129
1243	603311	851619
1244	603789	851124
1245	604297	850673
1246	604821	850242
1247	605319	849775
1248	605791	849272
1249	606289	848804
1250	606795	848349
1251	607283	847868
1252	607772	847389
1253	608176	846790
1254	608576	846187
1255	609072	845718
1256	609512	845170
1257	610010	844704
1258	610515	844247
1259	610931	843666
1260	611460	843243
1261	611857	842637
1262	612460	842315
1263	612901	841769
1264	613415	841324
1265	613902	840843
1266	614354	840312
1267	614827	839811
1268	615317	839333
1269	615810	838860
1270	616277	838350
1271	616703	837786
1272	617194	837310
1273	617707	836862
1274	618145	836314
1275	618652	835859
1276	619139	835378
1277	619628	834898
1278	620132	834439
1279	620613	833949
1280	620972	833295
1281	621465	832821
1282	621950	832336
1283	622421	831834
1284	622819	831233
1285	623320	830771
1286	623868	830370
1287	624293	829806
1288	624799	829350
1289	625181	828728
1290	625640	828210
1291	626132	827735
1292	626643	827285
1293	627097	826760
1294	627586	826282
1295	627988	825688
1296	628425	825140
1297	628805	824519
1298	629248	823981
1299	629701	823455
1300	630179	822963
1301	630656	822468
1302	631108	821943
1303	631548	821400
1304	632073	820968
1305	632537	820458
1306	633064	820028
1307	633557	819556
1308	634095	819140
1309	634559	818630
1310	635078	818190
1311	635603	817757
1312	636071	817253
1313	636577	816795
1314	637058	816306
1315	637550	815831
1316	638035	815347
1317	638456	814782
1318	638969	814334
1319	639459	813857
1320	639908	813328
1321	640405	812859
1322	640922	812416
1323	641447	811983
1324	641942	811512
1325	642469	811081
1326	642923	810558
1327	643439	810113
1328	643902	809602
1329	644366	809091
1330	644891	808658
1331	645355	808147
1332	645904	807744
1333	646421	807300
1334	646930	806845
1335	647402	806346
1336	647944	805931
1337	648446	805469
1338	648947	805004
1339	649455	804548
1340	649967	804098
1341	650528	803707
1342	651070	803293
1343	651620	802889
1344	652113	802415
1345	652609	801943
1346	653137	801511
1347	653606	801007
1348	654105	800539
1349	654554	800011
1350	655002	799481
1351	655417	798911
1352	655905	798429
1353	656386	797941
1354	656879	797466
1355	657343	796956
1356	657844	796491
1357	658329	796006
1358	658849	795564
1359	659286	795021
1360	659764	794529
1361	660300	794105
1362	660902	793761
1363	661497	793408
1364	662084	793045
1365	662585	792580
1366	663124	792159
1367	663597	791659
1368	664026	791108
1369	664454	790555
1370	664955	790089
1371	665450	789615
1372	665942	789139
1373	666441	788670
1374	666913	788170
1375	667401	787688
1376	667797	787099
1377	668189	786504
1378	668649	785990
1379	669214	785599
1380	669716	785134
1381	670330	784800
1382	670909	784425
1383	671465	784023
1384	671981	783573
1385	672486	783111
1386	672972	782628
1387	673532	782229
1388	674024	781751
1389	674417	781160
